Name,URL,Description,Image,,
Radio Dhool,https://audio-edge-hy4wy.blr.d.radiomast.io/08bc6e27-79cc-42e5-b3be-8890f42efbb5,"
Radio Dhool is a Tamil Radio station .The best Tamil Music 🎶🎧Amazing shows & Nonstop entertainment 📻Listen to radiodhool for a dose of fun in ur life.Radio Dhool is a Tamil radio station that brings to you light-hearted",https://tamilfmonline.com/wp-content/uploads/2022/09/radiodhool-1.jpg,,
Bakthi Layam FM,https://stream.zeno.fm/fbetbdb8t18uv,"
Listen to Bhakthi Layam fm for the best Religious radio. Listen live",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/bhakthilayamfm.jpg,,
Isaimurasu FM,https://usa8.fastcast4u.com/proxy/isaimurasufm?mp=/1,"
Isaimurasu FM is a Tamil FM FM radio will function in the name of Isaimurasu Nahoor Haniffa",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/isaimurasufm.jpg,,
Hello FM Chennai,https://strw1.openstream.co/766,"
Hello FM Tamil radio station broadcasting from Chennai at 106.4 Mhz.Listen to hello FM chennai live streaming online.Hello FM is the number one Tamil radio staion brodcasting from Chennai.Hello FM plays non stop Tamil super hit songs and telephone call Tamil programs .The number one tamil radio station in Chennai.Hello FM is the Largest Network of Private FM Radio Stations in Tamil Nadu and Puducherry.Listen to Hello FM Chennai radio station online.""",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/hellofm.jpg,,
Radio Mirchi Tamil,https://strw1.openstream.co/705,"
98.3 Radio Mirchi Tamil radio station live streaming online from Chennai.Listen to Super hit Tamil radio station Radio mirchi Tamil.98.3 Mirchii Tamil plays high quality Tamil songs.Listen to Mirchi For Live cricket scores and Traffic updates in Tamil.""",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/RadioMirchi-logo.jpg,,
Vasantham FM,https://cp12.serverse.com/proxy/vasanthamfm?mp=/stream,"
Vasantham FM Sri lanka is Tamil Rdaio station brodvcasting live from Sri Lanka.Vasantham FM plays various Tamil songs. Vasantham FM primarily broadcasts content in the Tamil language that include Tamil News",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/vasanthamfm.jpg,,
Kalvi Radio,blob:https://liveradios.in/5bcdee6b-b145-4be2-9b1f-953da7e900c3,"
Kalvi Radio is a Education Web-Radio.Listen to Kalvi Radio Tamil education web radio online for kids from 1st standard to 8th standard. கல்வி ரேடியோ கல்வி வலையொலி.!! மாணவர்களே கேளுங்கள் !!",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/kalvi-radio-new.jpg,,
Radio Gilli,https://livessl.rcast.net/stream/66462.mp3,"
Radio Gilli 106.5 FM is the official radio partner of UAE Tamils…UAE’s No. 1 Tamil Radio Station Ketka Ketka Jolly.Radio Gilli 106.5 FM is a No.1 Tamil radio station in UAE which provides ultimate fun to our South Indian community living abroad.. You can happily listen to the lovely Tamil music along with our RJ talks.. Brings you the Tamil essence wherever you are by being your companion throughout the day..Listen to Radio Gilli live ",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/radiogilli.jpg,,
Radio City Tamil,https://stream.zeno.fm/u5p1nw3zrf9uv,"
Radio City Tamil brings you finest picks of Tamil contemporary songs from Ilayaraja to AR Rahman interspersed with Radio City exclusive shows.Radio City Tamil plays popular kollywood tamil songs and interviews with various personalities .Listen to radio city tamil live on liveradios.in""",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/radiocity.jpg,,
Shakthi FM,https://stream.zenolive.com/qzx5zxn0bg0uv,"
Shakthi FM is the No 01 Tamil Radio Station in Colombo",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/shakthifm.jpg,,
Radio Thamil HD,https://eu10.fastcast4u.com/mybklgcr,"
Radio Thamil HD 105.9 is a Tamil Radio station from “Toronto Canada”",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/radiothamilhd.jpg,,
Arni City FM,https://usa9.fastcast4u.com/proxy/arnifm?mp=/1,"
Arni City FM is a local Tamil radio station broadcasting from Arani",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/arnicityfm.jpg,,
Sooriyan FM,https://stream.zeno.fm/7r87rbybwp8uv,"
Sooriyan FM is a privately owned Tamil radio station in Sri Lanka run by ABC Radio Networks.Sooriyan FM rated the number one Tamil radio channel.Sooriyan FM innovative programming strategy and the up to date news reporting has made Sooriyan FM the epitome in Tamil broadcasting.Sooriyan FM programes include Tamil songs ",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/Sooriyan_FM.jpg,,
Thamil Thai FM,https://radio.massstream.net/8010/stream,"
Tamilthai (TTR) Live Radio",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/tamilthaifm.jpg,,
Tamil Sun FM,https://usa2.fastcast4u.com/proxy/tamilsun?mp=/,,"
தமிழில் இருபத்து நான்கு மணி நேரமும் இடைவிடாது ஒலிக்கும் முதலாவது FM தமிழ்சன் வானொலி இப்போது ஒலிபரப்பில்.நாடுகளிலேயே முதன் முறையாக ஒரு முழு நேரப் இப்போது தமிழ்சன் FM கனடிய மண்ணிலிருந்து உலகமெங்கும் உள்ள தமிழர்களுக்காக.",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/tamil-sun-fm-new-logo.jpg,
Capital FM,https://stream-150.zeno.fm/wb76p3mdprhvv?zs=KE84pnyXRSGu0wCp7fAK4g,"Capital FM is committed in encouraging new thoughts and opinion within society. Capital FM will be second to none in terms of its creative content that cannot be compared with other players in the industry. Capital FM is Sri Lanka’s latest Tamil Radio Broadcasting at 94.0 & 103.1. #இது_நம்ம_Radio.Capital FM Tamil radio Live streaming online """,https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/capitalfm.jpg,,
Muthamil FM 88.9 HD3,https://ice66.securenetsystems.net/MUTHAMIL,"
Muthamil FM is a Tamil Radio Station operating from Toronto",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/muthamilfm.jpg,,
Mirchi Tamil Hits,blob:https://liveradios.in/8209f28f-3652-44ef-853d-ff9204fdba4f,"
Mirchi Tamil Hits is Latest Tamil Hit music on the go! Tamil Hits means the best",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/mirchitamilhits-1.jpg,,
Minnal FM,https://playerservices.streamtheworld.com/api/livestream-redirect/MINNAL_FMAAC.aac,"
Minnal FM is a Malaysian state owned Tamil radio station. Minnal FM Tamil is operated by Radio Televisyen Malaysia.",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/minnalfm.jpg,,
Radio Suno Tamil,https://playerservices.streamtheworld.com/api/livestream-redirect/RADIO_SUNO_TAMIL_S01.mp3,"
Radio suno tamil is a web radio station provided by Radio suno malayalam 91.7.",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/radio-suno-tamil.jpg,,
Namathu FM,https://s3.voscast.com:10527/stream?type=.mp3,"
Namathu FM is a 24X7 Tamil Online Radio Station Broadcast from France.A Dedicated online radio sttaion for Tamil speaking listeners from France.",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/namathu.jpg,,
Tamil FM,https://shaincast.caster.fm:47814/listen.mp3,"
Tamil Radio 99.5 99.7 is Sri Lankas Youth Based Tamil FM radio station.Tamil FM is a majic in radio.Listen to Tamil FM Sri lanka to listen to popular Tamil super hit programmes.Tamil FM radio main audience are the youth of Tamilnadu and Sri Lanka.Listen to Tamil Fm Radio Sri Lanka online and listen to Cricket live score in Tamil and more.""",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/tamilfm1-1.jpg,,
Tamil Amuthu Radio,https://stream.zeno.fm/p88vvwd0gm0uv,"
Tamil Amuthu Radio covers various kinds of hits and all set to engage you with this exciting and engaging radio station that is available to enjoy for everyone around the world and the radio is also online 24/7. So",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/tamilamuthuradio.jpg,,
Isaiyoli radio,https://radio.isaiyoli.com/radio/8000/radio.mp3,"
Isaiyoli Radio which is an Unlimited 24×7 Tamil Web Radio Station hosted from Sri Lanka.",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/isaiyoliradio.jpg,,
